Each numbered origami of degree  4  is represented as follows.
The format is (x,y,\epsilon), where x and y are shown as cycles, and \epsilon is shown as a list with + as 0 and - as 1.
O_ 0  = ( [[0, 1, 2, 3]] [[0], [1], [2], [3]] [0 0 0 0] ), abelian= True
O_ 1  = ( [[0, 1, 2, 3]] [[0], [1], [2, 3]] [0 0 0 0] ), abelian= True
O_ 2  = ( [[0, 1, 2, 3]] [[0], [1], [2, 3]] [0 0 1 0] ), abelian= False
O_ 3  = ( [[0, 1, 2, 3]] [[0], [1, 2, 3]] [0 0 0 0] ), abelian= True
O_ 4  = ( [[0, 1, 2, 3]] [[0], [1, 2, 3]] [0 1 0 0] ), abelian= False
O_ 5  = ( [[0, 1, 2, 3]] [[0], [1, 2, 3]] [0 0 1 0] ), abelian= False
O_ 6  = ( [[0, 1, 2, 3]] [[0], [1, 2, 3]] [0 1 1 0] ), abelian= False
O_ 7  = ( [[0, 1, 2, 3]] [[0], [1, 2, 3]] [0 1 0 1] ), abelian= False
O_ 8  = ( [[0, 1, 2, 3]] [[0], [1, 2, 3]] [0 1 1 1] ), abelian= True
O_ 9  = ( [[0, 1, 2, 3]] [[0], [1, 3], [2]] [0 0 0 0] ), abelian= True
O_ 10  = ( [[0, 1, 2, 3]] [[0], [1, 3], [2]] [0 1 0 0] ), abelian= False
O_ 11  = ( [[0, 1, 2, 3]] [[0, 1], [2, 3]] [0 0 0 0] ), abelian= True
O_ 12  = ( [[0, 1, 2, 3]] [[0, 1], [2, 3]] [1 0 0 0] ), abelian= False
O_ 13  = ( [[0, 1, 2, 3]] [[0, 1], [2, 3]] [1 0 1 0] ), abelian= False
O_ 14  = ( [[0, 1, 2, 3]] [[0, 1, 2, 3]] [0 0 0 0] ), abelian= True
O_ 15  = ( [[0, 1, 2, 3]] [[0, 1, 2, 3]] [1 0 0 0] ), abelian= False
O_ 16  = ( [[0, 1, 2, 3]] [[0, 1, 2, 3]] [1 1 0 0] ), abelian= False
O_ 17  = ( [[0, 1, 2, 3]] [[0, 1, 2, 3]] [1 0 1 0] ), abelian= False
O_ 18  = ( [[0, 1, 2, 3]] [[0, 1, 2, 3]] [1 1 1 0] ), abelian= False
O_ 19  = ( [[0, 1, 2, 3]] [[0, 1, 2, 3]] [1 1 1 1] ), abelian= True
O_ 20  = ( [[0, 1, 2, 3]] [[0, 1, 3, 2]] [0 0 0 0] ), abelian= True
O_ 21  = ( [[0, 1, 2, 3]] [[0, 1, 3, 2]] [1 0 0 0] ), abelian= False
O_ 22  = ( [[0, 1, 2, 3]] [[0, 1, 3, 2]] [1 1 0 0] ), abelian= False
O_ 23  = ( [[0, 1, 2, 3]] [[0, 1, 3, 2]] [0 0 1 0] ), abelian= False
O_ 24  = ( [[0, 1, 2, 3]] [[0, 1, 3, 2]] [1 0 1 0] ), abelian= False
O_ 25  = ( [[0, 1, 2, 3]] [[0, 1, 3, 2]] [0 1 1 0] ), abelian= False
O_ 26  = ( [[0, 1, 2, 3]] [[0, 1, 3, 2]] [0 0 1 1] ), abelian= False
O_ 27  = ( [[0, 1, 2, 3]] [[0, 2], [1, 3]] [0 0 0 0] ), abelian= True
O_ 28  = ( [[0, 1, 2, 3]] [[0, 2], [1, 3]] [1 0 0 0] ), abelian= False
O_ 29  = ( [[0, 1, 2, 3]] [[0, 2], [1, 3]] [1 1 0 0] ), abelian= False
O_ 30  = ( [[0], [1, 2, 3]] [[0], [1], [2], [3]] [0 0 0 0] ), abelian= True
O_ 31  = ( [[0], [1, 2, 3]] [[0], [1], [2, 3]] [0 0 0 0] ), abelian= True
O_ 32  = ( [[0], [1, 2, 3]] [[0], [1], [2, 3]] [0 0 1 0] ), abelian= False
O_ 33  = ( [[0], [1, 2, 3]] [[0], [1, 2, 3]] [0 0 0 0] ), abelian= True
O_ 34  = ( [[0], [1, 2, 3]] [[0], [1, 2, 3]] [0 1 0 0] ), abelian= False
O_ 35  = ( [[0], [1, 2, 3]] [[0], [1, 2, 3]] [0 1 1 0] ), abelian= False
O_ 36  = ( [[0], [1, 2, 3]] [[0], [1, 2, 3]] [0 1 1 1] ), abelian= True
O_ 37  = ( [[0], [1, 2, 3]] [[0, 1], [2], [3]] [0 0 0 0] ), abelian= True
O_ 38  = ( [[0], [1, 2, 3]] [[0, 1], [2, 3]] [0 0 0 0] ), abelian= True
O_ 39  = ( [[0], [1, 2, 3]] [[0, 1], [2, 3]] [0 0 1 0] ), abelian= False
O_ 40  = ( [[0], [1, 2, 3]] [[0, 1, 2], [3]] [0 0 0 0] ), abelian= True
O_ 41  = ( [[0], [1, 2, 3]] [[0, 1, 2], [3]] [0 1 0 0] ), abelian= False
O_ 42  = ( [[0], [1, 2, 3]] [[0, 1, 2], [3]] [0 1 1 0] ), abelian= True
O_ 43  = ( [[0], [1, 2, 3]] [[0, 1, 2, 3]] [0 0 0 0] ), abelian= True
O_ 44  = ( [[0], [1, 2, 3]] [[0, 1, 2, 3]] [0 1 0 0] ), abelian= False
O_ 45  = ( [[0], [1, 2, 3]] [[0, 1, 2, 3]] [0 0 1 0] ), abelian= False
O_ 46  = ( [[0], [1, 2, 3]] [[0, 1, 2, 3]] [0 1 1 0] ), abelian= False
O_ 47  = ( [[0], [1, 2, 3]] [[0, 1, 2, 3]] [0 1 0 1] ), abelian= False
O_ 48  = ( [[0], [1, 2, 3]] [[0, 1, 2, 3]] [0 1 1 1] ), abelian= True
O_ 49  = ( [[0, 1], [2, 3]] [[0], [1], [2], [3]] [0 0 0 0] ), abelian= True
O_ 50  = ( [[0, 1], [2, 3]] [[0], [1], [2, 3]] [0 0 0 0] ), abelian= True
O_ 51  = ( [[0, 1], [2, 3]] [[0], [1], [2, 3]] [0 0 1 0] ), abelian= False
